Title,Release Date,Language,Vote Average,Popularity
Anna Bond,01-05-2012,Kannada,6,0.1791
Chingari,12-02-2012,Kannada,4,0.2054
Rambo,07-09-2012,Kannada,3.5,0.2761
Lucky,23-02-2012,Kannada,6.6,0.2638
Shiva,24-08-2012,Kannada,0,0.2264
Parijatha,10-02-2012,Kannada,0,0.1031
Kalpana,28-09-2012,Kannada,2,0.2002
Yaare Koogadali,20-12-2012,Kannada,0,0.1368
Alemari,09-03-2012,Kannada,6,0.1102
Drama,01-11-2012,Kannada,6.6,0.1506
Prasad,23-03-2012,Kannada,0,0.1203
Katari Veera Surasundarangi,10-05-2012,Kannada,2,0.1984
Jaanu,01-06-2012,Kannada,0,0.1288
Arakshaka,26-01-2012,Kannada,3,0.0859
Appu Pappu,08-06-2012,Kannada,0,0.0978
Dandupalya,29-06-2012,Kannada,7,0.1304
Govindaya Namaha,29-03-2012,Kannada,6,0.095
Ko Ko,13-01-2012,Kannada,0,0.0791
Golmaal,26-10-2012,Kannada,0,0.1005
Addhuri,15-06-2012,Kannada,3,0.2225
Godfather,27-07-2012,Kannada,6.8,0.0817
AK 56,10-02-2012,Kannada,0,0.1322
Romeo,06-07-2012,Kannada,0,0.0755
Edegarike,23-11-2012,Kannada,6.8,0.1078
Nammanna Don,16-02-2012,Kannada,0,0.0714
All About Our Familia,27-07-2012,Kannada,0,0.0658
Sagar,10-08-2012,Kannada,0,0.048
Mr 420,19-10-2012,Kannada,0,0.0795
Kraanthiveera Sangolli Raayanna,01-11-2012,Kannada,3.5,0.0393
Koormavatara,01-04-2012,Kannada,0,0.0311
Sidlingu,13-01-2012,Kannada,8,0.0621
Brindavana,26-12-2013,Kannada,4,0.4339
Bachchan,11-04-2013,Kannada,5.8,0.4264
Lucia,19-10-2013,Kannada,7.2,0.4068
Googly,19-07-2013,Kannada,6.5,0.3126
Dirty Picture: Silk Sakkath Maga,02-08-2013,Kannada,0,0.2093
Dilwala,04-10-2013,Kannada,0,0.2586
Raja Huli,01-11-2013,Kannada,7.6,0.2728
6-5=2,29-11-2013,Kannada,5.8,0.2933
Varadanayaka,25-01-2013,Kannada,5.7,0.2206
Whistle,12-07-2013,Kannada,7,0.2578
Andar Bahar,05-04-2013,Kannada,0,0.1863
Director's Special,31-05-2013,Kannada,0,0.1205
Charminar,08-02-2013,Kannada,5,0.2716
Bulbul,10-05-2013,Kannada,6,0.1759
Victory,23-08-2013,Kannada,4.8,0.1084
Lakshmi,17-01-2013,Kannada,0,0.1201
Myna,22-02-2013,Kannada,3.3,0.1382
Simple Agi Ondh Love Story,28-09-2013,Kannada,6.5,0.1333
Jatta,11-10-2013,Kannada,0,0.105
Kaddi Pudi,07-06-2013,Kannada,8,0.0818
Jayammana Maga,15-08-2013,Kannada,0,0.0978
Bharath Stores,05-04-2013,Kannada,0,0.0648
Bhajarangi,12-12-2013,Kannada,5,0.0679
Padhe Padhe,15-02-2013,Kannada,0,0.0574
Madarangi,10-05-2013,Kannada,0,0.0789
Nam Duniya Nam Style,28-06-2013,Kannada,0,0.0748
Shravani Subramanya,27-12-2013,Kannada,0,0.0867
Galaate,11-01-2013,Kannada,1.333,0.0633
Ziddhi,22-03-2013,Kannada,0,0.0561
Topiwaala,15-03-2013,Kannada,7,0.0596
Story Kathe,24-05-2013,Kannada,0,0.0193
Auto Raja,21-06-2013,Kannada,0,0.0923
Adwaitha,06-12-2013,Kannada,5,0.0377
Manna Payana,30-12-2013,Kannada,0,0
Hajj,25-07-2013,Kannada,0,0
Ugramm,21-02-2014,Kannada,6.7,0.479
Adhyaksha,15-08-2014,Kannada,3.5,0.29
Mr & Mrs Ramachari,25-12-2014,Kannada,6.4,0.2679
Power,28-08-2014,Kannada,4,0.2885
Ulidavaru Kandanthe,28-03-2014,Kannada,7.8,0.2514
Ambareesha,20-11-2014,Kannada,4.7,0.3125
Bahaddur,19-08-2014,Kannada,9,0.1977
Ninnindale,16-01-2014,Kannada,6,0.2433
Super Ranga,19-09-2014,Kannada,2,0.1757
Gajakessari,23-05-2014,Kannada,4.8,0.1834
Maanikya,28-03-2014,Kannada,5.2,0.1441
Aryan,25-07-2014,Kannada,3,0.14
Thirupathi Express,05-09-2014,Kannada,2,0.1898
Gharshane,03-01-2014,Kannada,0,0.1467
Ragini IPS,28-03-2014,Kannada,7.5,0.2014
Chandralekha,07-03-2014,Kannada,0,0.1162
Rangan Style,21-02-2014,Kannada,0,0.0938
Love Is Poison,20-06-2014,Kannada,0,0.089
Small Things Big Things,31-12-2014,Kannada,0,0.0409
Huccha Venkat,28-11-2014,Kannada,0,0.095
Dil Rangeela,07-03-2014,Kannada,4,0.072
Savaari 2,01-01-2014,Kannada,0,0.1059
Jai Lalitha,27-06-2014,Kannada,0,0.2709
Drishya,20-06-2014,Kannada,7.3,0.0557
Namo Bhootatma,28-10-2014,Kannada,0,0.0655
Fig Fruit and The Wasps,19-10-2014,Kannada,0,0.0496
Bahuparak,25-07-2014,Kannada,3,0.0725
Chaali Polilu,30-10-2014,Kannada,0,0.0526
