Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Rajwade and Sons,16-10-2015,Hindi,Atul Kulkarni,Mrinal Kulkarni,Debarpito,"The movie follows the story of cousins Anay, Shweta, Annaya and Virajas, the youngest generation of the rich and powerful Rajwade family. They each wish to follow they own dreams, but their grandfather, the head of the family, has other plans for them. Each will have to fight, argue, and question the foundations of the joint family if they want to live their dreams. Rajwade and Sons is the story of a happy joint family who want to find a way to stay together, in the ever-changing modern times.",6.5,0.4495
Jazbaa,09-10-2015,Hindi,Irrfan Khan,Aishwarya Rai Bachchan,DJ Viran,"After her daughter is kidnapped, a lawyer is forced to defend a criminal in exchange for her daughter's freedom.",6.9,0.6378
Bombay Velvet,15-05-2015,Hindi,Ranbir Kapoor,Anushka Sharma,Amit Trivedi,"An ordinary man, who goes against all odds to forge his own destiny and become a star in the glittering sky of 'Bombay,' thriving on jazz and violence.",5.5,0.6654
Titli,06-05-2015,Hindi,Shashank Arora,Shivani Raghuvanshi,Karan Gour,A young man in Delhi tries to break free from his controlling brothers.,6.8,0.4594
Rahasya,30-01-2015,Hindi,Kay Kay Menon,Tisca Chopra,Ranjit Barot,Only child of a doctor couple is murdered in her sleep inside their large duplex apartment.,7.1,0.6805
Guddu Rangeela,03-07-2015,Hindi,Arshad Warsi,Aditi Rao Hydari,Amit Trivedi,"Rangeela (Arshad Warsi) and Guddu (Amit Sadh) are from North India they both are cousins. They play orchestra. But they want to make money from any way. One day the information provided to local gangsters about the richest families in town, has fetched them an easy and safe way to subsist without getting their hands dirty in the bargain. So they kidnap Baby (Aditi Rao Hydari). They were supposed to get 10 crore as kidnapping amount. After kidnapping her they have to face a lot of problem. But suddenly Billu Pahalwan (Ronit Roy) comes in action. He is politician and he changes the game of Guddu Rangeela. Then story takes an interesting twist.",4.6,0.5907
Ek Paheli Leela,10-04-2015,Hindi,Rajneesh Duggal,Sunny Leone,Tony Kakkar,"It is a reincarnation story about the love between Leela and her lover, which is left incomplete because one of them has been murdered. The story comes to circle after 300 years; when Leela has taken birth as Meera and her lover's character is also reborn.",4.4,0.3176
Kajarya,04-12-2015,Hindi,Sumeet Vyas,Ridhima Sud,Richard Horowitz,"Set in the present times against two backdrops, New Delhi with its shining buildings and apparent cosmopolitan veneer thinly veils an underbelly of crimes against women and corruption at all levels. And a small village just 80 kilometers from New Delhi that is stuck in a time warp. Kajarya a woman in her early thirties has a strange but important place in the village social structure; she murders unwanted girl infants in the garb of religion. Meera is a rookie reporter.",6.8,0.4597
Katti Batti,18-09-2015,Hindi,Imran Khan,Kangana Ranaut,Loy Mendonsa,A man falls in love with a woman because of her outlook on life. They are in a relationship for five years until a sudden turn of events causes a problem in their relationship.,5.4,0.3586
Dolly Ki Doli,23-01-2015,Hindi,Pulkit Samrat,Sonam Kapoor Ahuja,Sanjoy Chowdhury,"Dolly, an attractive woman, fakes marriages and runs away stealing all the precious belongings of the groom and his family. Dolly's modus operandi is to get her fake brother to identify prospective grooms &amp; then entice these men to fall in love with her. Attracted by her charms, these prospective grooms are ready to do anything for dolly including going against their parents' wishes to marry her.",5.2,0.4703
Chehere: A Modern Day Classic,28-08-2015,Hindi,Jackie Shroff,Divya Dutta,Jaideep Choudhury,"Chehere is a period drama set in the 1950s that revolves around the life of a retired silent era actor. The actress in the film has a bitter relationship with her sister, a poet. There is clash of ideas and perspectives and what follows is mystery.",7,0.3925
Meeruthiya Gangsters,18-09-2015,Hindi,Jatin Sarna,Nushrratt Bharuccha,Siddhant Madhav,"A group of Meerut rogues aspire to become crime kingpins and local politicos. But, a major kidnapping makes them lose their all.",4,0.4425
Lateef,05-06-2015,Hindi,Nawazuddin Siddiqui,Pratima Kazmi,Anis Sabri,"Lateef is a middle-class man who aspires to become a doctor. But, this dream is shattered when he gets arrested in a drug raid.",8,0.3541
Mrs. Scooter,20-12-2015,Hindi,Himanshu Kohli,Anjali Patil,Avinash Baghel,"There is a woman who gets married, her husband buys a scooter on the same day, and later, he abandons both. The story is woven around the parallel lives of the scooter and the woman, who go through the same situation.",1,0.3644
The Threshold,20-02-2015,Hindi,Rajit Kapoor,Neena Gupta,Tapas Relia,"A North Indian couple, in their early 60s, at their mountain retreat. Their son has just gotten married, a reception has ended and all the guests have left. She chooses this moment to tell her husband that she is leaving. What follows is an endless day: the avalanche of this long-gathering decision and what it means to a decades-long relationship. Fragments of conversations, silence and chaos, as nostalgia mingles with menace and tenderness with cruelty. What will they succeed in rescuing against the landslide of memory and emotion?",9,0.2261
Island City,08-09-2015,Hindi,Vinay Pathak,Amruta Subhash,Sagar Desai,"A collection of three comic-dramatic stories set in Mumbai. The first is about a diligent office worker who wins the office 'Fun Committee Award', which entitles him to a whole day full of fun. He is most reluctant to leave the safety of his cubicle but he has to. Prescribed fun modules have to be completed and non-compliance is not an option... The second story begins with a domineering head-of-the-family, Anil, who is on life support. Seeking some relief, his family decides to buy a TV, which Anil had banned. Now every night the family plugs into a popular soap whose hero, Purshottam, is a man ideal in every way and they are smitten. Then suddenly, comes the news that Anil is better and may be home soon. Will they have to let Purshottam go?... The third one centers on Aarti whose repetitive existence is slowly making her more and more mechanical and numb. Deep inside ferments a disconnect and unease that she is unable to articulate to anyone.",8,0.2845
Kaash,24-08-2015,Hindi,Varun Mitra,Kalki Koechlin,Savera Mehta,"Frustrated with his dwindling relationship, Aadil, a dreamy young photographer, spontaneously sets off to meet a girl he has connected with over the vast universe of the Internet. Far from the urban dystopia of Bombay he falls into Khushali's simple world of earthly delights. In her, he finds strains of Samira, as she was and as she has become.",0,0.1063
El’ayichi,14-02-2015,Hindi,Divyendu Sharma,Nimrat Kaur,Mangesh Dhakade,"A clingy husband haunts his irritated wife with a fossilized dodo for company. An exploration of love, way past its 'expiry' date.",7.5,0.1115
Chimes,14-08-2015,Hindi,Gopal Datt,Ayesha Raza Mishra,Neel Dutt,"An ordinary day of house hunting turns bizarre, for the Sanyals as they realize that the house has a mind of its own.",5,0.1869
