Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Durgi,28-04-2004,Kannada,Ashish Vidhyarthi,Malashri,Hamsalekha,"Durgi was living happily with her family in a small village. But 2 businessmen entered the village to make a sugar mill. They used to be drunk always. One day, they raped her sister and she died in hospital. When Durgi and her family were in agony, they killed Durgi's father. After this, she promises to kill everyone.",0,0.4893
Jyeshta,17-12-2004,Kannada,Vishnuvardhan,Ashima Bhalla,S A Rajkumar,"Jyeshta is a 2004 Indian Kannada language drama film starring Vishnuvardhan, Ashima Bhalla and Devaraj in the lead roles. The film, a remake of Malayalam film Valliettan (2000), is directed and written by director Suresh Krissna and features soundtrack from S. A. Rajkumar. The original version was directed by Shaji Kailas and featured Mammootty and Shobhana in lead roles.",0,0.2822
Love,09-07-2004,Kannada,Mohanlal,Rakshita,Anu Malik,"Ganga, who mistakes Vikram to be a womaniser, understands his character when he saves her from a fire accident. They become lovers, but things change when a mysterious woman enters their lives.",7.5,0.3794
Sahukara,24-09-2004,Kannada,V. Ravichandran,Rambha,,Sahukara is a 2004 Indian Kannada-language film directed by Om Prakash Rao and produced by K. Manju. It stars V. Ravichandran and Rambha in lead roles.  It was a remake of Tamil film Muthu.,0,0.1481
Kadamba,16-01-2004,Kannada,Vishnuvardhan,Bhanupriya,,"Rajashekar overhears his police officer father's conversation with his abductor, Sharat Chandra, to kill him. This incident changes the course of his life and turns him into a criminal.",0,0.1705
Omkara,18-09-2004,Kannada,Upendra,Preeti Jhangiani,Gurukiran,A 2004 Kannada movie.,0,0.1722
Bisi Bisi,22-01-2004,Kannada,Ramesh Aravind,Anu Prabhakar,Milind Dharmasena,"Bisi Bisi is a 2004 Kannada film directed by Ramnath and produced by Ajay Chandani. The film stars Ramesh Aravind, Anu Prabhakar and Shankar Rao in lead roles. Music was composed by Milind Dharmasena.",0,0.1861
Maurya,22-10-2004,Kannada,Puneeth Rajkumar,Meera Jasmine,,"Manu, a professional kick-boxer can do anything to fulfill his mother’s wish. Through all the ups and downs, he struggles hard to become the Ultimate Champion.",0,0.1955
Monalisa,07-05-2004,Kannada,Sammir Dattani,Sadha,,"Dyan's relationship ends when his girlfriend, Monalisa, dies in an accident. In order to fulfil his parent's wishes, he marries Spandana, who turns out to be an exact lookalike of Monalisa.",2,0.1866
Veera Kannadiga,01-01-2004,Kannada,Puneeth Rajkumar,Anita Hassanandani Reddy,Chakri,A man protects a slum and strives to keep its inhabitants safe from the negative elements. He also aims to avenge his father's death against the criminals who killed him.,5,0.2679
Haseena,01-04-2004,Kannada,,Tara,,"Hasina marries driver Yakub against his mother's wishes. The couple have three daughters, one of whom is disabled. Pregnant with their fourth child, the couple break social codes and do a pregnancy scan to ascertain the baby's gender. When Yakub realizes it is yet another girl, he becomes at turns abusive and neglectful, eventually leaving Hasina to fend for herself.",9,0.1249
Monda,01-04-2004,Kannada,Sai Kumar,Pavitra Lokesh,,,0,0.1393
Kalasipalya,15-10-2004,Kannada,Darshan Thoogudeepa Srinivas,Chitra Shenoy,,"Kencha, who is unable to pass his matriculation exam even after repeated attempts, decides to start a business. While his family supports him, the thugs in his locality oppose him at every turn.",0,0.1988
Malla,27-02-2004,Kannada,V. Ravichandran,Priyanka Upendra,V. Ravichandran,"Shiva, a florist's son, grows up to become a gangster. After his father is murdered, he sets out to take revenge against the culprits.",0,0.0544
Jogi,19-08-2005,Kannada,Shivaraj Kumar,Arundathi Nag,Gurukiran,"After a crime lord is murdered by Madesha, Nivedhitha, a journalist, sets out to meet him. She ends up meeting an old woman and promises to help her find her son, who is none other than Madesha.",7,0.7216
Pandu Ranga Vittala,30-12-2005,Kannada,V. Ravichandran,Rambha,V. Ravichandran,"Vithala gets married to two women, who are both unaware of each other's existence. He strives hard to keep them happy but encounters various obstacles in his endeavour.",0,0.43
Namma Basava,09-09-2005,Kannada,Puneeth Rajkumar,Sudharani,Gurukiran,"Basava (Puneet Rajkumar) runs a gym centre and lives with his brother Avinash and Sudharani (wife of Avinash), who treat him as their own son. When his brother start seeking a girl as his bride, he opines that he should select his future bride. He selects Gowri, daughter of an auditor who is working with Pampathy. Pampathys younger brother is Home Minister and Pampathys son is a vagabond womanizer. To gain her approval, Basava makes every effort, but before he can get her green signal, her engagement is fixed with the vagabond son of Pampathy. Supported by Gowris peppy and naughty grandmother (Lakshmidevi), Basava rises against the autocratic behaviour of Pampathy, challenges him in public, and wins, thereby also winning the heart and hand of Gowri.",0,0.3714
Rama Shama Bhama,09-12-2005,Kannada,Ramesh Aravind,Urvashi,Gurukiran,"Rama, a married man, has an affair with Priya who pursues him despite knowing about his wife. When his friend Shama learns of the affair, the latter decides to reunite him with his wife.",9.5,0.3867
Aakash,29-04-2005,Kannada,Puneeth Rajkumar,Divya Spandana,R. P. Patnaik,"While working odd jobs, Aakash, a wedding photographer, meets Nandini, who falls in love with his optimistic and good-natured personality. The film stars Puneeth Rajkumar and Ramya in the lead roles, while Ashish Vidyarthi and Avinash play pivotal roles. The movie was declared as a Blockbuster hit at the box office. The film found a 200 days run at the cinema halls in Karnataka.",0,0.3156
Dr. B. R. Ambedkar,30-12-2005,Kannada,H. G. Dattatreya,Padma Vasanthi,Abhiman,"Based on the life of Indian social reformer, jurist, academic-politician, B. R. Ambedkar. The film covers the period from his birth right up to his death.",0,0.375
Vishnu Sena,22-12-2005,Kannada,Vishnuvardhan,Lakshmi Gopalaswamy,Deva,"Vishnu Sena movie is the based on Finding the corruption.Vishnuvardhan is the professor in College.He builds the force by youngsters to kidnap the corrupt people and kill them. Even police investigation is also over.Finally, He tells that he had his own way to cure the ills of the society.",0,0.2099
Nenapirali,02-12-2005,Kannada,Prem Kumar,Vinaya Prasad,,"Kishore helps his friend Ekanth to woo the girl he loves, Indu, whereas Indu's sister falls in love with Kishore. However, when Ekanth marries Indu, an unfortunate incident tears them apart.",0,0.2067
Amrithadhare,07-10-2005,Kannada,Amitabh Bachchan,Divya Spandana,Mano Murthy,"Puru (Dhyan) and Amritha (Ramya) are a couple deeply in love with each other. It is a case of opposite poles attracting. Puru is everything that Amritha is not! The boy is religious and tight-fisted in money matters. His only ambition in life: to construct a house. Amritha likes to splurge and is an atheist. In the course of time, Puru realizes his ambition, and names the dream house as Amrithadhare - a birthday gift to his beloved wife. Everything is hunky dory in their small world. But fate springs an unpleasant surprise on them. Amritha is diagnosed as having brain cancer, and the doctor tells Puru that her days are numbered! A shocked Puru decides to make her remaining days as happy as possible. He takes her on a Bharat darshan. In the process, Amritha realizes a long-standing wish of hers too: to meet her favourite actor Amitabh Bachchan in Mumbai, who makes an appearance in the climax.",0,0.1941
Auto Shankar,09-09-2005,Kannada,Upendra,Shilpa Shetty Kundra,Gurukiran,Auto Shankar is a 2005 Kannada film.,2,0.3377
Valmiki,29-07-2005,Kannada,Shivaraj Kumar,Hrishitaa Bhatt,Gurukiran,A 2005 Kannada drama film.,0,0.2088
Mahasadhvi Mallamma,14-01-2005,Kannada,Rajendra Prasad,Meena,,"Mallamma, a Shiva devotee, marries Dharanna. She is excited to start a new life with her husband, however her in-laws treat her horribly and she loses faith in Lord Shiva.",0,0.1531
Aham Premasmi,27-05-2005,Kannada,V. Ravichandran,Aarti Chabria,V. Ravichandran,"A poor slum boy, detests love and meets Arati in college. She wants to find out, whether his love for her is not mere infatuation, but he overcomes all obstacles and his love breeds forever",0,0.1824
