Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Maa Pelliki Randi,20-03-2001,Telugu,J. D. Chakravarthi,Sakshi Shivananda,S A Rajkumar,"Happy-go-lucky Kumar falls head over heels in love with Anjali at first sight. After a lot of persuasion, Anjali agrees to marry him, but his parents have different plans for him.",8.3,0.3035
Time Pass,01-05-2001,Telugu,Ajay,,,,0,0.2062
6 Teens,16-03-2001,Telugu,Vijaya Bhaskar,Rakhi Sawant,Ghantadi Krishna,"6 Teens is a story about a group of five sex-obsessed teenage boys who, after humiliating themselves at college, pursue a new girl neighbor from the U.S.",0,0.212
Preminchu,11-04-2001,Telugu,Sai Kiran,Laya,M. M. Srilekha,"Meena is a blind student who faces life's obstacles and becomes a lawyer. Meena and Suresh fall in love, but Suresh's family opposes their marriage.",0,0.0807
Aadi,28-03-2002,Telugu,N.T. Rama Rao Jr.,Keerthi Chawla,Mani Sharma,"Aadi, who is raised by his father's faithful employee, learns about how his parents were cheated and killed by Nagi Reddy. Enraged by the injustice done to his family, he decides to confront Nagi.",5.8,1.3442
Indra,24-07-2002,Telugu,Chiranjeevi,Sonali Bendre,Mani Sharma,"A man embarks on a quest to make peace between two families fighting over the water problem in their district. In a bid to solve this crisis, he agrees to marry a girl from the rival family.",6.1,1.4896
Jayam,14-06-2002,Telugu,Nithiin,Sadha,R. P. Patnaik,"The story is centered in a village where the parents of first cousins Sujatha (Sadha) and Raghu (Gopichand) decide that both will be married when they become adults. As a child, Sujatha's uncle gives her anklets, which she wears as she grows up. As they grow older, Raghu is caught smuggling money from his house. At school, Raghu beats up a kid for talking to Sujatha. They quarrel, and soon Raghu's family leaves for another village. Sujatha grows to be an attractive college girl, while the villain Raghu becomes a good-for-nothing character. On her way to college, Sujatha meets up with Venkat (Nitin), a poor but handsome, charming enthusiastic boy, and soon after their quarrels they fall in love.",6.4,0.7616
Nuvvu Leka Nenu Lenu,14-01-2002,Telugu,Tarun,Aarthi Agarwal,R. P. Patnaik,"Radha Krishna and Krishnaveni constantly tease each other and deny any romantic feelings.  But when they become engaged to other people, they realize the truth.",6,0.6487
Manmadhudu,20-12-2002,Telugu,Nagarjuna Akkineni,Sonali Bendre,Devi Sri Prasad,"Abhiram, a misogynist, works as a manager in his own advertising agency. When his uncle, the chairman, appoints Harika as an assistant manager, he mistreats her, but his hatred soon turns into love.",7,0.889
Bobby,31-10-2002,Telugu,Mahesh Babu,Aarthi Agarwal,Mani Sharma,Yadagiri (Prakash Raj) is a handicapped mafia leader in Hyderabad and KR (Raghuvaran) is a rich business man. Bhagyamati(Aarthi Agarwal) is daughter of Yadagiri. Bobby(Mahesh) is son of KR. The story of this film deals with what happens when these two kids fall in love with each other.,3.1,0.6635
