Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Shikari,06-10-2000,Hindi,Govinda,Tabu,Aadesh Shrivastava,"Virendra (Nirmal Pandey) is a business tycoon in Cape Town, South Africa.  His sister Rajeshwari (Karishma Kapoor), wife Suman (Tabu) and his mother are his only relatives. Virendra's marital life is in apparent discord, since he has never had any relations with Suman. One day, Virendra gets a rival in business world in form of Mahendra Pratap Singh (Govinda). Mahendra is an Indian spice tycoon wanting to expand his business in South Africa.",4.6,0.3975
Aaj Ka Ravan,29-09-2000,Hindi,Mithun Chakraborty,,,A series of unfortunate events plague journalist Shanti after a fellow journalist is shot to death on her doorstep,10,0.2159
Ek Ajooba,28-07-2000,Hindi,Amrish Puri,Meghna Erande,,,9.5,0.2257
Jwalamukhi,02-01-2000,Hindi,Mithun Chakraborty,Mink Brar,,After a Cop tries to change the rules in a village he gets killed by the village goons. His spirit then starts to haunt them. He also helps his fellow cop to fight against his killers.,10,0.314
Last Train To Mahakali,25-01-2000,Hindi,Kay Kay Menon,Nivedita Bhattacharya,Shaarang Dev,The story of a doctor on death row who claims to have discovered a permanent cure for any virus-based disease.,6.2,0.2261
Agniputra,01-01-2000,Hindi,Mithun Chakraborty,Deepshika Nagpal,,"Arjun, a devoted son and brother, loves his mother and three sisters dearly. He sacrifices his love and happiness to safeguard his family against all odds.",10,0.173
Jai jwala maa,01-02-2000,Hindi,Satyendra Kapoor,,Surinder Kohli,Devotional movie based on the story of Bhakt Dhyanu.,9.5,0.1388
Khooni Kangan,01-01-2000,Hindi,Govardhan Asrani,Upasna Singh,,Indian ghost revenge film,0,0.1728
Basanti,01-01-2000,Hindi,Shakti Kapoor,,,"Basanti is a brave working class teenage girl whose father Shankar is respected in the village for his honesty. Bhavani Shankar wants to force him to support his puppet candidate in the next election, but his brother, Basanti's father, supports another good man, Aftab Ahmad Khan. Bhavani Shankar's henchmen kill Basanti's father and Aftab Khan in front of the girl's eyes.",0,0.2841
Bhai Thakur,11-06-2000,Hindi,Dharmendra,,,"Gajendra Singh lives a wealthy lifestyle in a village in India. He has never attended school and as a result does not know how to read or write in Hindi nor English. His marriage is arranged with equally wealthy Janki, the sister of Thakur Diwan and Ranjit Singh. On Hanuman Jayanti they get married but Janki is not happy and decides to leave her husband. Gajendra searches for her but when he hears that she is dead, decides to seal the Hanuman Mandir doors and remain single.",0,0.2129
Sant Gyaneshwar,10-03-2000,Hindi,Dara Singh,Varsha Usgaonkar,Nandu Honap,Devotional production of the deity Sant Gyaneshwar.,8,0.1409
Tune Mera Dil Le Liyaa,23-02-2000,Hindi,,,,"Vijay meets and falls in love with Janam and they decide to marry, but his father objects to it.",0,0.0809
Scribbles on Akka,01-01-2000,Hindi,Harish Khanna,Seema Biswas,,"A film on feminine legacy of rebellion, language and transgressions. Using the composition of Mahadevi Akka, a 13th century saint-poet, the film explores the multiplicity of contemporary women and their own points of transgressions.",0,0.1091
Daku Rani,01-01-2000,Hindi,Anil Nagrath,,,"Starring : Kiran Kumar,Anil Nagrath,Durgesh Nandini,Shiva Rindani,Deepak Shirke  Genre : Action  Director : Ramesh U. Lakhiani",0,0.3047
Vikrut,11-01-2000,Hindi,Rajendra Gupta,,,Vikrut is the story of a masked serial killer in Mumbai who targets prostitutes. A hot-headed gangster gets on his tail after his lover is murdered.,0,0.118
