Title,Release Date,Language,Vote Average,Popularity
Thiruvilaiyaadal Aarambam,15-12-2006,Tamil,6.2,0.3075
Em Magan,08-09-2006,Tamil,7.6,0.2433
Parijatham,09-06-2006,Tamil,0,0.1807
Thalaimagan,01-09-2006,Tamil,4,0.2193
Veyyil,22-12-2006,Tamil,7.2,0.2137
Kalvanin Kadhali,14-02-2006,Tamil,1.5,0.2406
Chithiram Pesuthadi,10-02-2006,Tamil,5.6,0.2818
Dishyum,12-05-2006,Tamil,5.333,0.2049
Azhagai Irukkirai Bayamai Irukkirathu,14-04-2006,Tamil,4,0.1959
E,21-10-2006,Tamil,5.833,0.1683
Yuga,14-07-2006,Tamil,0,0.2393
Poi,22-12-2006,Tamil,2,0.2023
Madhu,12-05-2006,Tamil,0,0.2615
Thalai Nagaram,19-05-2006,Tamil,6.4,0.2817
Pachchak Kuthira,14-04-2006,Tamil,2,0.1587
Pasa Kiligal,14-01-2006,Tamil,0,0.2406
Thirupathi,14-04-2006,Tamil,4.2,0.139
June R,08-02-2006,Tamil,5.5,0.1599
Vattaram,21-10-2006,Tamil,5.1,0.1799
Kusthi,25-08-2006,Tamil,0,0.1346
Kovai Brothers,23-02-2006,Tamil,4.8,0.1642
Vathiyar,15-10-2006,Tamil,4.8,0.1998
Mercury Pookkal,16-03-2006,Tamil,6.5,0.1811
Nee Venunda Chellam,03-04-2006,Tamil,1,0.1316
Kalabha Kadhalan,16-02-2006,Tamil,5.5,0.1638
Chennai Kadhal,08-12-2006,Tamil,2,0.1717
Aadum Koothu,04-12-2006,Tamil,0,0.1773
Naalai,17-05-2006,Tamil,0,0.1423
Manathodu Mazhaikalam,22-09-2006,Tamil,0,0.1563
Sudesi,08-05-2006,Tamil,5,0.1757
Azhagiya Asura,22-12-2006,Tamil,0,0.125
Thirudi,22-12-2006,Tamil,0,0.0985
Iruvar Mattum,30-11-2006,Tamil,0,0.1125
Madrasi,10-07-2006,Tamil,2,0.0588
Ilakkanam,22-12-2006,Tamil,0,0.1925
Uyir,01-06-2006,Tamil,2.7,0.0672
Gurukshetram,11-08-2006,Tamil,0,0.0286
Sivaji: The Boss,08-06-2007,Tamil,7,3.8072
Deepavali,09-02-2007,Tamil,5.1,0.813
Pokkiri,11-01-2007,Tamil,6.9,1.1195
Billa,14-12-2007,Tamil,6.733,0.7934
Thottal Poo Malarum,03-08-2007,Tamil,4.8,0.9041
Paruthiveeran,23-02-2007,Tamil,6.8,1.153
Polladhavan,08-11-2007,Tamil,7.1,0.5487
Azhagiya Tamil Magan,08-11-2007,Tamil,5.1,0.4763
Evano Oruvan,07-12-2007,Tamil,8,0.3242
Kaloori,07-12-2007,Tamil,6,0.4296
Kattradhu Thamizh,06-10-2007,Tamil,7.3,0.3997
Chennai 600028,27-04-2007,Tamil,7.2,0.3925
Mozhi,23-02-2007,Tamil,7.6,0.4132
Vel,08-11-2007,Tamil,6.019,0.3164
Sivi,21-09-2007,Tamil,0,0.3979
Oram Po,30-11-2007,Tamil,6.1,0.3664
Thaamirabharani,14-01-2007,Tamil,5.55,0.471
Unnale Unnale,14-04-2007,Tamil,5.5,0.4316
Thavam,05-10-2007,Tamil,0,0.2813
Pachaikili Muthucharam,16-02-2007,Tamil,5.8,0.3705
Malaikottai,28-09-2007,Tamil,5.7,0.2818
Pori,07-07-2007,Tamil,6,0.238
Cheena Thaana 001,07-09-2007,Tamil,3,0.3763
Satham Podathey,14-09-2007,Tamil,5,0.2005
Kuttrapathirikai,23-03-2007,Tamil,0,0.2097
Naan Avan Illai,01-01-2007,Tamil,6.8,0.2604
Onbadhu Roobai Nottu,30-11-2007,Tamil,0,0.1868
Parattai Engira Azhagu Sundaram,27-04-2007,Tamil,3.2,0.2788
Aarya,10-08-2007,Tamil,6.2,0.2844
Kannamoochi Yenada,08-11-2007,Tamil,7,0.1776
Aalwar,12-01-2007,Tamil,3.5,0.2551
Rameswaram,15-09-2007,Tamil,0,0.2422
Marudhamalai,07-09-2007,Tamil,5,0.2134
Periyar,04-05-2007,Tamil,0,0.3018
Muni,30-09-2007,Tamil,6.4,0.2029
Manikanda,05-05-2007,Tamil,3.2,0.2251
Kireedam,20-07-2007,Tamil,5.8,0.2491
Puli Varudhu,21-12-2007,Tamil,0,0.1727
Mirugam,13-12-2007,Tamil,6,0.2612
Thirumagan,09-03-2007,Tamil,0,0.1382
Viyabari,03-03-2007,Tamil,5.25,0.1864
Sabari,16-03-2007,Tamil,5,0.2055
Madurai Veeran,18-04-2007,Tamil,0,0.1511
Pirappu,01-06-2007,Tamil,0,0.0997
Pallikoodam,10-08-2007,Tamil,8,0.1824
Veerappu,27-07-2007,Tamil,0,0.2202
Adavadi,30-03-2007,Tamil,0,0.2254
Thiru Ranga,11-07-2007,Tamil,0,0.2378
Nam Naadu,21-09-2007,Tamil,5,0.1609
Piragu,21-09-2007,Tamil,0,0.215
Machakaaran,08-11-2007,Tamil,4.2,0.1154
Maya Kannadi,14-04-2007,Tamil,0,0.2058
Karuppusamy Kuththagaithaarar,14-05-2007,Tamil,7,0.0761
Nee Naan Nila,25-05-2007,Tamil,0,0.0833
Lee,16-02-2007,Tamil,4,0.0744
Mudhal Kanave,20-04-2007,Tamil,0,0.1333
Koodal Nagar,05-04-2007,Tamil,1,0.0985
Thee Nagar,27-07-2007,Tamil,0,0.0783
Muruga,07-03-2007,Tamil,0,0.1782
Sringaram,05-10-2007,Tamil,0,0.0852
Inimey Nangathan,14-09-2007,Tamil,0,0.0557
Vegam,28-09-2007,Tamil,0,0.0773
Athiyayam,19-07-2007,Tamil,0,0.0338
Agaram,16-02-2007,Tamil,0,0.0338
Thullal,19-07-2007,Tamil,0,0.0256
Goddesses,01-06-2007,Tamil,7,0.0143
Our Family,05-12-2007,Tamil,0,0.0071
Yaaruku Yaaro,25-12-2007,Tamil,0,0.0071
