Title,Release Date,Language,Hero,Heroine
Bhageeratha,05-10-2005,Telugu,Ravi Teja,Shriya Saran
Evadi Gola Vadide,21-01-2005,Telugu,Brahmanandam,Kovai Sarala
A Film by Aravind,09-07-2005,Telugu,Rajiv Kanakala,Sherlyn Chopra
Naa Oopiri,01-07-2005,Telugu,M. S. Narayana,Sangeetha Krish
Jai Chiranjeeva,21-12-2005,Telugu,Chiranjeevi,Bhumika Chawla
Nuvvante Nakishtam,12-08-2005,Telugu,Aryan Rajesh,Anuradha Mehta
Soggadu,31-03-2005,Telugu,Tarun,Aarthi Agarwal
Athanokkade,01-01-2005,Telugu,Kalyan Ram,
Kanchanamala Cable TV,09-07-2005,Telugu,Srikanth,Raai Laxmi
Hungama,28-04-2005,Telugu,Venu Madhav,Jayalalita
Dhairyam,12-02-2005,Telugu,Nithiin,Raima Sen
Sada Mee Sevalo,25-03-2005,Telugu,Venu Thottempudi,Shriya Saran
Sri,03-12-2005,Telugu,Manchu Manoj,Tamannaah Bhatia
Mahanandi,03-12-2005,Telugu,Sumanth,Anushka Shetty
Gowtham SSC,30-12-2005,Telugu,Navdeep,
Oray Pandu,11-02-2005,Telugu,Mohan Babu,Bhanupriya
Mr Errababu,05-05-2005,Telugu,Venu Madhav,Roma Asrani
Naidu LLB,01-01-2005,Telugu,Ali Basha,Gayatri Jayaraman
Mogudu Pellam O Dongodu,07-09-2005,Telugu,Brahmanandam,Shriya Saran
Avunanna Kadanna,06-04-2005,Telugu,Uday Kiran,Sadha
Adirindayya Chandram,01-01-2005,Telugu,Sivaji Sontineni,Laya
Political Rowdy,29-09-2005,Telugu,Mohan Babu,Charmy Kaur
Modati Cinema,01-01-2005,Telugu,Navdeep,Poonam Bajwa
123 from Amalapuram,19-08-2005,Telugu,Ravi Prakash,Nithya Das
Pandem,05-02-2005,Telugu,Jagapati Babu,Kaveri
Dhana 51,29-08-2005,Telugu,,
Manasu Mata Vinadu,01-02-2005,Telugu,Navdeep,Ankitha
Dhoolpet Police Station,07-07-2005,Telugu,,
Moguds-Pellams,29-10-2005,Telugu,,
Pournami,20-04-2006,Telugu,Prabhas,Trisha Krishnan
Amma Cheppindi,28-07-2006,Telugu,Sharwanand,Suhasini Maniratnam
Pokiri,27-04-2006,Telugu,Mahesh Babu,Ileana D'Cruz
Sri Ramadasu,31-03-2006,Telugu,Nagarjuna Akkineni,Sneha
Rakhi,22-12-2006,Telugu,N.T. Rama Rao Jr.,Ileana D'Cruz
Vikramarkudu,23-06-2006,Telugu,Ravi Teja,Anushka Shetty
Godavari,19-05-2006,Telugu,Sumanth,Kamalinee Mukherjee
Happy,27-01-2006,Telugu,Allu Arjun,Genelia D'Souza
Ashok,13-07-2006,Telugu,N.T. Rama Rao Jr.,Sameera Reddy
Boss,27-09-2006,Telugu,Nagarjuna Akkineni,Nayanthara
Stalin,14-12-2006,Telugu,Chiranjeevi,Trisha Krishnan
Devadasu,11-01-2006,Telugu,Sayaji Shinde,Ileana D'Cruz
Pellaina Kothalo,08-12-2006,Telugu,Jagapati Babu,Priyamani
Bommarillu,09-08-2006,Telugu,Siddharth,Genelia D'Souza
Sainikudu,30-11-2006,Telugu,Mahesh Babu,Trisha Krishnan
Kithakithalu,05-05-2006,Telugu,Allari Naresh,Madhu Shalini
Khatarnak,14-12-2006,Telugu,Ravi Teja,Ileana D'Cruz
Annavaram,29-12-2006,Telugu,Pawan Kalyan,Sandhya
Asadhyudu,26-02-2006,Telugu,Kalyan Ram,
Lakshmi,14-01-2006,Telugu,Venkatesh,Nayanthara
Ranam,10-02-2006,Telugu,Gopichand,Kamna Jethmalani
Gopi Goda Meeda Pilli,16-11-2006,Telugu,Allari Naresh,Aarti Chabria
10th Class,07-04-2006,Telugu,Bharat,Sunaina
