Title,Release Date,Language,Vote Average,Popularity
The Bypass,13-08-2003,Hindi,5,0.3795
Inteha,24-10-2003,Hindi,8,0.1152
Meri Ganga Ki Saugandh,14-03-2003,Hindi,0,0.1744
Waisa Bhi Hota Hai: Part II,14-11-2003,Hindi,7,0.196
Paanch,21-09-2003,Hindi,6.6,0.2033
Freaky Chakra,07-02-2003,Hindi,0,0.1383
Koi Hai,06-06-2003,Hindi,0,0.131
Om,21-03-2003,Hindi,5.2,0.1283
Nayee Padosan,01-01-2003,Hindi,5,0.1356
Bhayaanak Panjaa,15-08-2003,Hindi,0,0.1063
The Pink Mirror,14-09-2003,Hindi,4.7,0.1728
Dhoop,16-11-2003,Hindi,5,0.0849
Anubhav: An Experience,09-06-2003,Hindi,0,0.0964
Qayamat: City Under Threat,11-07-2003,Hindi,5.2,0.074
Kahan Ho Tum,11-07-2003,Hindi,0,0.0818
Escape From Taliban,14-02-2003,Hindi,2,0.1202
Samay: When Time Strikes,10-10-2003,Hindi,6.4,0.0897
Patth,07-11-2003,Hindi,0,0.101
Miss India: The Mystery,03-09-2003,Hindi,0,0.0812
Notes on her,11-08-2003,Hindi,0,0.0662
Chupke Se,12-09-2003,Hindi,5,0.1063
Kaash... Hamara Dil Pagal Na Hota,30-06-2003,Hindi,0,0.0725
Kyon?,29-08-2003,Hindi,0,0.0509
88 Antop Hill,27-06-2003,Hindi,0,0.0544
Sasura Bada Paisawala,01-01-2003,Hindi,0,0.0741
Dangerous Night,01-01-2003,Hindi,0,0.0412
Naga Story : The OtherSide of Silence,09-08-2003,Hindi,0,0.051
Bhoot Ke Pechhe Bhoot,01-01-2003,Hindi,0,0.0286
Maut Ke Peeche Maut,01-01-2003,Hindi,0,0.0362
Duplicate Jaani Dushman,05-09-2003,Hindi,0,0.0398
Shamshan Ghat,01-01-2003,Hindi,0,0.0214
Kaise Kahoon Ke Pyaar Hai,09-05-2003,Hindi,0,0.0214
Valentine Days,08-02-2003,Hindi,0,0.0071
Wah Wah Ramji,14-11-2003,Hindi,0,0.0214
Ether,01-07-2003,Hindi,0,0
Veer-Zaara,12-11-2004,Hindi,7.4,2.2648
Bow Barracks Forever,01-12-2004,Hindi,0,0.7676
Taarzan: The Wonder Car,06-08-2004,Hindi,5.5,1.1522
Yuva,22-05-2004,Hindi,6.4,1.0389
Dhoom,27-08-2004,Hindi,6.165,1.2505
Main Hoon Na,30-04-2004,Hindi,6.659,1.2427
Black Friday,13-08-2004,Hindi,7.4,1.0831
Hum Tum,28-05-2004,Hindi,6.346,0.9037
Swades,17-12-2004,Hindi,7.3,0.9908
Khakee,23-01-2004,Hindi,6.4,1.6328
Lakshya,18-06-2004,Hindi,6.6,0.8488
Garv: Pride and Honour,09-07-2004,Hindi,5.6,0.7218
Ek Hasina Thi,16-01-2004,Hindi,6.3,0.6551
Mujhse Shaadi Karogi,30-07-2004,Hindi,6.5,0.7656
Deewaar: Let's Bring Our Heroes Home,25-06-2004,Hindi,6.4,0.4943
I Proud to Be an Indian,13-02-2004,Hindi,4.7,0.3863
Kismat,20-02-2004,Hindi,5.5,0.6203
Murder,02-04-2004,Hindi,5,0.5439
Aabra Ka Daabra,24-12-2004,Hindi,4.3,0.3679
Plan,08-01-2004,Hindi,4.6,0.3035
Ab Tak Chhappan,27-02-2004,Hindi,7.3,0.3473
Masti,09-04-2004,Hindi,5.7,0.5978
Aan: Men at Work,04-06-2004,Hindi,5.2,0.4387
Love in Nepal,05-03-2004,Hindi,4,0.2586
Tumsa Nahin Dekha: A Love Story,23-09-2004,Hindi,6.7,0.3242
Asambhav,22-07-2004,Hindi,4.7,0.3845
Raincoat,24-12-2004,Hindi,7.3,0.3949
Krishna Cottage,30-07-2004,Hindi,4.8,0.3984
Kiss Kis Ko,01-07-2004,Hindi,4.2,0.3626
Aitraaz,12-11-2004,Hindi,5.8,0.5124
Lakeer,14-05-2004,Hindi,6.2,0.4279
The Legend of Buddha,22-10-2004,Hindi,7,0.2555
Kyun! Ho Gaya Na...,11-08-2004,Hindi,4.8,0.3718
Yeh Lamhe Judaai Ke,27-03-2004,Hindi,6.4,0.3157
Jaago,06-02-2004,Hindi,7,0.2383
Dev,11-06-2004,Hindi,6.4,0.2797
Final Solution,13-02-2004,Hindi,7.8,0.2275
Hum Kaun Hai,03-09-2004,Hindi,6,0.2466
Shart: The Challenge,13-08-2004,Hindi,0,0.2714
Police Force: An Inside Story,28-05-2004,Hindi,5.3,0.2449
Aetbaar,23-01-2004,Hindi,4.2,0.2657
Phir Milenge,12-08-2004,Hindi,4.4,0.3522
Run,29-01-2004,Hindi,4.9,0.2654
Dil Ne Jise Apna Kahaa,10-09-2004,Hindi,5.3,0.3711
Ishq Hai Tumse,01-01-2004,Hindi,10,0.2144
Ab Tumhare Hawale Watan Saathiyo,24-12-2004,Hindi,5.1,0.3115
Rudraksh,13-02-2004,Hindi,3.6,0.2507
Musafir,09-12-2004,Hindi,5.8,0.2283
Meenaxi: Tale of 3 Cities,01-04-2004,Hindi,6,0.2577
Bardaasht,23-04-2004,Hindi,5.4,0.2823
Meri Biwi Ka Jawab Nahin,02-07-2004,Hindi,4,0.2945
Insaaf: The Justice,05-03-2004,Hindi,0,0.1822
Rakht,22-09-2004,Hindi,5.1,0.1783
Muskaan,26-03-2004,Hindi,7.2,0.2131
